claim_id,feature,family,causal_role,target,top_fraction,orientation,gross_directionally_positive,globally_adjusted_diagnostic_survivor,discovery_lift_mean,discovery_lift_lb,discovery_precision,discovery_base_rate,discovery_recall,discovery_median_lead_days,discovery_mean_terminal_return,discovery_mean_mfe,discovery_mean_mae,validation_lift_mean,validation_lift_lb,validation_precision,validation_base_rate,validation_recall,validation_median_lead_days,validation_mean_terminal_return,validation_mean_mfe,validation_mean_mae,diagnostic_lockbox_lift_mean,diagnostic_lockbox_lift_lb,diagnostic_lockbox_precision,diagnostic_lockbox_base_rate,diagnostic_lockbox_recall,diagnostic_lockbox_median_lead_days,diagnostic_lockbox_mean_terminal_return,diagnostic_lockbox_mean_mfe,diagnostic_lockbox_mean_mae,min_lift
range_63:down_21d_20pct:top5,range_63,range,realized_range,down_21d_20pct,0.05,1,True,False,0.0719984949450324,-0.0151865794978712,0.0822047244094488,0.0102169052243312,0.4169329073482428,14.0,0.0038964322831697,0.0760772255635381,-0.0752550110304497,0.0295400065686913,-0.0380059769975751,0.0407692307692307,0.0112301381864521,0.1879432624113475,10.0,0.0547731991543523,0.123456558788561,-0.0656005440498388,0.0290917613969295,-0.008265371188816,0.0347169811320754,0.0056252197351459,0.3194444444444444,14.5,0.0116071058700332,0.079606724919033,-0.0628826025529625,0.0290917613969295
downvol_126:down_21d_20pct:top5,downvol_126,volatility,downside_fragility,down_21d_20pct,0.05,1,True,False,0.0464866839214104,-0.0119850967334149,0.0569440050616893,0.0102169052243312,0.2875399361022364,14.0,0.0063430732576438,0.0695670890649087,-0.0651327696995192,0.0380015450302298,-0.0335456288590506,0.0492307692307692,0.0112301381864521,0.226950354609929,10.0,0.0552007117552875,0.1185151700275369,-0.0603233935748634,0.0290917613969295,0.0026987599438358,0.0347169811320754,0.0056252197351459,0.3194444444444444,14.5,0.0136019506875819,0.0714295032911445,-0.0533471122105547,0.0290917613969295
residual_mom_252:down_21d_20pct:top5,residual_mom_252,market_relative,idiosyncratic_direction,down_21d_20pct,0.05,-1,True,False,0.0611254888428801,-0.0259581117671422,0.0743099787685774,0.0102169052243312,0.2795527156549521,14.0,-0.0152740299755933,0.0547462193408006,-0.0740898212397847,0.0336425706712554,-0.0340091399133893,0.0448717948717948,0.0112301381864521,0.1985815602836879,8.5,0.0512507232130158,0.1172778797161619,-0.0589504871634237,0.0289659752334075,-0.006203247143549,0.0345911949685534,0.0056252197351459,0.3055555555555556,14.0,0.0133422527801189,0.0737548412386124,-0.056399982283599,0.0289659752334075
rel_strength_63:down_21d_20pct:top5,rel_strength_63,market_relative,relative_strength,down_21d_20pct,0.05,-1,True,False,0.0416310408767909,-0.0170587385484333,0.0520936366633696,0.0102169052243312,0.2523961661341853,14.0,0.0033653203739256,0.0595243861139577,-0.0611387045934658,0.0296361604148452,-0.0263743880988166,0.0408653846153846,0.0112301381864521,0.1808510638297872,10.0,0.03670899100196,0.0921370612507265,-0.0532503216452133,0.0281798117113949,-0.0126498579303988,0.0338050314465408,0.0056252197351459,0.2986111111111111,15.0,-0.0012405962176732,0.0599455647585638,-0.0582781222158694,0.0281798117113949
drawdown_252:down_21d_20pct:top5,drawdown_252,breakout,drawdown_state,down_21d_20pct,0.05,-1,True,False,0.0568732418599368,-0.0209609460844052,0.0677118078719146,0.0102169052243312,0.3242811501597444,14.0,-0.0035462458302963,0.0626681921508288,-0.0690483785504628,0.0320400065686913,-0.0434893287476971,0.0432692307692307,0.0112301381864521,0.1914893617021276,9.0,0.051673828269848,0.1170302056725944,-0.0569127033669632,0.0281798117113949,-0.0080038954627995,0.0338050314465408,0.0056252197351459,0.2986111111111111,14.0,0.0095759338029943,0.0707433142683621,-0.0584385562750519,0.0281798117113949
dist_high_252:down_21d_20pct:top5,dist_high_252,breakout,distance_to_supply,down_21d_20pct,0.05,-1,True,False,0.0568732418599368,-0.0209609460844052,0.0677118078719146,0.0102169052243312,0.3242811501597444,14.0,-0.0035462458302963,0.0626681921508288,-0.0690483785504628,0.0320400065686913,-0.0434893287476971,0.0432692307692307,0.0112301381864521,0.1914893617021276,9.0,0.051673828269848,0.1170302056725944,-0.0569127033669632,0.0281798117113949,-0.0080038954627995,0.0338050314465408,0.0056252197351459,0.2986111111111111,14.0,0.0095759338029943,0.0707433142683621,-0.0584385562750519,0.0281798117113949
mom_63:down_21d_20pct:top5,mom_63,price_path,direction_state,down_21d_20pct,0.05,-1,True,False,0.0416310408767909,-0.0170587385484333,0.0520936366633696,0.0102169052243312,0.2523961661341853,14.0,0.0033653203739256,0.0595243861139577,-0.0611387045934658,0.0296361604148452,-0.0263743880988166,0.0408653846153846,0.0112301381864521,0.1808510638297872,10.0,0.03670899100196,0.0921370612507265,-0.0532503216452133,0.0281798117113949,-0.0126498579303988,0.0338050314465408,0.0056252197351459,0.2986111111111111,15.0,-0.0012405962176732,0.0599455647585638,-0.0582781222158694,0.0281798117113949
mom_252_skip_21:down_21d_20pct:top5,mom_252_skip_21,price_path,persistent_direction,down_21d_20pct,0.05,-1,True,False,0.0527079804253717,-0.0160161565207645,0.0658174097664543,0.0102169052243312,0.2476038338658147,14.0,-0.0147324943504303,0.0527391015348697,-0.0712074852487938,0.0320400065686913,-0.0399284528999134,0.0432692307692307,0.0112301381864521,0.1914893617021276,10.5,0.0468312211291204,0.1123440564796315,-0.0603368006976856,0.0273936481893823,-0.0039645950129725,0.0330188679245283,0.0056252197351459,0.2916666666666667,14.0,0.0096046512334066,0.0673576940541799,-0.0553141986985177,0.0273936481893823
mom_63_skip_5:down_21d_20pct:top5,mom_63_skip_5,price_path,persistent_direction,down_21d_20pct,0.05,-1,True,False,0.0409748728977883,-0.0139850791027905,0.0514003294892915,0.0102169052243312,0.2492012779552715,14.0,0.0035221065615225,0.0593012952391629,-0.0609090026013953,0.0288348783635631,-0.0256812455094013,0.0400641025641025,0.0112301381864521,0.1773049645390071,10.5,0.0357584601082415,0.091070615523618,-0.0534728628445141,0.0273936481893823,-0.0119195639929409,0.0330188679245283,0.0056252197351459,0.2916666666666667,14.5,-0.0006016684395528,0.0598271639165974,-0.0578739856474234,0.0273936481893823
upvolshare63_x_relstrength63:down_21d_20pct:top5,upvolshare63_x_relstrength63,interaction,relative_accumulation_proxy,down_21d_20pct,0.05,-1,True,False,0.0432714608242975,-0.0187524688669481,0.0537421694691724,0.0102169052243312,0.2603833865814696,14.0,0.0031086892066086,0.0598060702514954,-0.0615348819880541,0.0336425706712554,-0.0297876787431456,0.0448717948717948,0.0112301381864521,0.1985815602836879,10.0,0.0363762453425295,0.093102263556833,-0.0541357764331496,0.0273936481893823,-0.0136401752693213,0.0330188679245283,0.0056252197351459,0.2916666666666667,15.5,0.0014367928651236,0.061584702913898,-0.0573096547402938,0.0273936481893823
range_42:down_21d_20pct:top5,range_42,range,realized_range,down_21d_20pct,0.05,1,True,False,0.0688488886458198,-0.0174529363063018,0.0790551181102362,0.0102169052243312,0.4009584664536741,14.0,0.0033946081981594,0.0746979652998383,-0.074820163058494,0.0303092373379221,-0.034750727994434,0.0415384615384615,0.0112301381864521,0.1914893617021276,10.0,0.0567772491231655,0.1246748133333903,-0.0641872519510338,0.0268276104535333,-0.009025806277122,0.0324528301886792,0.0056252197351459,0.2986111111111111,15.0,0.0095743539417651,0.075853145840935,-0.0612588405467961,0.0268276104535333
range_126:down_21d_20pct:top5,range_126,range,realized_range,down_21d_20pct,0.05,1,True,False,0.066657287595951,-0.0229242986266531,0.077020202020202,0.0102169052243312,0.389776357827476,14.0,0.0047757394985754,0.0756711208081283,-0.0736394691658636,0.0287707757994606,-0.0430417454057856,0.04,0.0112301381864521,0.1843971631205673,9.5,0.052800747121038,0.1211097185256805,-0.0643395733775869,0.0268276104535333,-0.0054225718167223,0.0324528301886792,0.0056252197351459,0.2986111111111111,14.0,0.0123438359187275,0.0788203295621389,-0.0623202206164203,0.0268276104535333
