decision_date,rank_ic
2019-01-31,0.5664071384830723
2019-02-28,0.5328142769661446
2019-03-31,0.47437669495232265
2019-04-30,0.4187735106289913
2019-05-31,0.5371533549120812
2019-06-30,0.5832035692415362
2019-07-31,0.36425509579214416
2019-08-31,0.594226226926778
2019-09-30,0.5413524626016971
2019-10-31,0.40659609832910504
2019-11-30,0.4628641413699588
2019-12-31,0.4405738780509142
2020-01-31,0.4838596798180387
2020-02-29,0.5158778759513603
2020-03-31,0.5760300936051089
2020-04-30,0.53683842183536
2020-05-31,0.5272854518414837
2020-06-30,0.36152567579389383
2020-07-31,0.47143731956959145
2020-08-31,0.48015046802554456
2020-09-30,0.5037704487796343
2020-10-31,0.49246785058175135
2020-11-30,0.34651386580351673
2020-12-31,0.3983028606421135
2021-01-31,0.47721109264281336
2021-02-28,0.6003849182048815
2021-03-31,0.44064386317907445
2021-04-30,0.5538098154142245
2021-05-31,0.44960195958358845
2021-06-30,0.5569941387455165
2021-07-31,0.4409587962557956
2021-08-31,0.5856880412912255
2021-09-30,0.5135683667220715
2021-10-31,0.6622167789344764
2021-11-30,0.5581139007960808
2021-12-31,0.3612457352812527
2022-01-31,0.7073221940337678
2022-02-28,0.5474411687516403
2022-03-31,0.533409150555507
2022-04-30,0.6510891435569941
2022-05-31,0.41775872627066746
2022-06-30,0.5190621992826524
2022-07-31,0.47238211879975495
2022-08-31,0.4008923103840434
2022-09-30,0.4101303473011985
2022-10-31,0.26862041816114074
2022-11-30,0.5769049077071122
2022-12-31,0.4283264806228676
2023-01-31,0.37811215116787683
2023-02-28,0.41418948473449385
2023-03-31,0.4408188259994751
2023-04-30,0.5878225877001138
2023-05-31,0.47038754264718746
2023-06-30,0.7161403201819613
2023-07-31,0.48781383955909363
2023-08-31,0.3039979004461552
2023-09-30,0.5670370046365147
2023-10-31,0.5847782346251421
2023-11-30,0.3387105240136471
2023-12-31,0.6480097979179424
2024-01-31,0.36156066835797396
2024-02-29,0.48427959058700026
2024-03-31,0.4164290088356224
2024-04-30,0.5232962995363486
2024-05-31,0.5603184323331292
2024-06-30,0.4661184498294112
2024-07-31,0.38990464526288166
2024-08-31,0.522911381331467
2024-09-30,0.5743154579651824
2024-10-31,0.515527950310559
2024-11-30,0.5761700638614294
2024-12-31,0.5099991251858981
