market,observable_family,mapping_status,historical_data_status,point_in_time_required,signed_or_directional_lineage_required,live_decision_weight,capital_permission
US_STOCKS,point_in_time_financials,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,earnings_surprises,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,analyst_revisions,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,guidance,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,order_backlog,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,customer_supplier_network,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,capacity_and_pricing,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,institutional_ownership,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,short_borrow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
US_STOCKS,insider_buyback_issuance,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,ETF_fund_flow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
US_STOCKS,options_surface_signed_flow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
US_STOCKS,trade_order_book,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
US_STOCKS,news_attention,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
IHSG,point_in_time_financials,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
